relative_path,class_name
HYP/8640_clean.png,HYP
CD/1800_rand_4.png,CD
HYP/6495_rand_5.png,HYP
MI/8_rand_4.png,MI
HYP/16895_rand_6.png,HYP
CD/1240_clean.png,CD
HYP/17288_rand_8.png,HYP
MI/14929_rand_2.png,MI
STTC/9676_rand_4.png,STTC
STTC/13041_rand_3.png,STTC
NORM/19179_clean.png,NORM
NORM/5509_clean.png,NORM
CD/14275_rand_1.png,CD
MI/20230_rand_4.png,MI
NORM/20549_clean.png,NORM
MI/16234_rand_3.png,MI
HYP/17291_clean.png,HYP
NORM/17246_clean.png,NORM
STTC/19250_rand_2.png,STTC
HYP/12840_rand_10.png,HYP
HYP/11856_rand_7.png,HYP
CD/16970_rand_4.png,CD
STTC/54_rand_2.png,STTC
CD/856_rand_1.png,CD
NORM/10928_rand_1.png,NORM
STTC/116_clean.png,STTC
CD/18944_clean.png,CD
HYP/21742_rand_5.png,HYP
MI/4946_rand_3.png,MI
CD/13464_rand_2.png,CD
MI/7318_rand_1.png,MI
MI/14604_rand_3.png,MI
CD/17165_rand_1.png,CD
STTC/4409_clean.png,STTC
NORM/17731_rand_1.png,NORM
CD/6638_clean.png,CD
NORM/6776_rand_1.png,NORM
HYP/10063_rand_4.png,HYP
CD/20102_rand_1.png,CD
NORM/3441_rand_1.png,NORM
CD/5920_rand_3.png,CD
NORM/3941_clean.png,NORM
NORM/18031_clean.png,NORM
HYP/4527_rand_6.png,HYP
CD/17940_clean.png,CD
NORM/1787_clean.png,NORM
MI/17537_clean.png,MI
NORM/12407_clean.png,NORM
CD/14230_rand_1.png,CD
MI/16798_rand_1.png,MI
NORM/9838_clean.png,NORM
MI/20569_clean.png,MI
STTC/8986_clean.png,STTC
STTC/4116_rand_4.png,STTC
STTC/13233_rand_4.png,STTC
STTC/13789_rand_4.png,STTC
CD/6062_rand_1.png,CD
NORM/1089_clean.png,NORM
MI/10867_rand_3.png,MI
NORM/16507_rand_1.png,NORM
HYP/5208_rand_7.png,HYP
STTC/14515_rand_2.png,STTC
MI/16175_rand_1.png,MI
STTC/2055_rand_3.png,STTC
NORM/6430_rand_1.png,NORM
HYP/10618_rand_6.png,HYP
STTC/15904_rand_2.png,STTC
STTC/17648_rand_4.png,STTC
MI/2174_rand_3.png,MI
STTC/2443_rand_4.png,STTC
NORM/10143_rand_1.png,NORM
NORM/9584_rand_1.png,NORM
STTC/19214_rand_4.png,STTC
CD/2485_rand_2.png,CD
STTC/11860_rand_2.png,STTC
STTC/18307_clean.png,STTC
MI/12418_rand_4.png,MI
STTC/12816_clean.png,STTC
MI/8768_rand_4.png,MI
STTC/16008_clean.png,STTC
MI/11871_rand_1.png,MI
NORM/11065_rand_1.png,NORM
MI/2605_rand_4.png,MI
MI/17779_rand_2.png,MI
NORM/1421_rand_1.png,NORM
HYP/14295_rand_5.png,HYP
STTC/1529_rand_2.png,STTC
NORM/13317_clean.png,NORM
STTC/18100_rand_4.png,STTC
STTC/18221_rand_3.png,STTC
MI/17804_rand_3.png,MI
STTC/18587_rand_3.png,STTC
STTC/10934_rand_3.png,STTC
NORM/4247_clean.png,NORM
HYP/3238_rand_5.png,HYP
MI/13590_clean.png,MI
