relative_path,class_name
HYP/IMG_7487.jpg,HYP
MI/IMG_7729.jpg,MI
STTC/IMG_8216.jpg,STTC
HYP/IMG_7295.jpg,HYP
HYP/IMG_7278.jpg,HYP
MI/IMG_7749.jpg,MI
NORM/IMG_6572.jpg,NORM
NORM/IMG_6566.jpg,NORM
NORM/IMG_6520.jpg,NORM
MI/IMG_6173.JPG,MI
STTC/IMG_8325.jpg,STTC
NORM/IMG_5796.JPG,NORM
MI/IMG_7637.jpg,MI
STTC/IMG_8374.jpg,STTC
MI/IMG_6181.JPG,MI
CD/IMG_7200.jpg,CD
NORM/IMG_6618.jpg,NORM
NORM/IMG_6554.jpg,NORM
HYP/IMG_7260.jpg,HYP
NORM/IMG_6598.jpg,NORM
CD/IMG_6959.jpg,CD
HYP/IMG_7439.jpg,HYP
HYP/IMG_7468.jpg,HYP
HYP/IMG_7559.jpg,HYP
CD/IMG_7046.jpg,CD
STTC/IMG_8227.jpg,STTC
HYP/IMG_7335.jpg,HYP
MI/IMG_7806.jpg,MI
STTC/IMG_8158.jpg,STTC
HYP/IMG_5969.JPG,HYP
MI/IMG_7771.jpg,MI
NORM/IMG_6546.jpg,NORM
STTC/IMG_8391.jpg,STTC
CD/IMG_7151.jpg,CD
MI/IMG_6172.JPG,MI
MI/IMG_6081.JPG,MI
MI/IMG_6076.JPG,MI
CD/IMG_6867.jpg,CD
CD/IMG_7092.jpg,CD
STTC/IMG_8282.jpg,STTC
MI/IMG_7662.jpg,MI
MI/IMG_6158.JPG,MI
NORM/IMG_6423.jpg,NORM
CD/IMG_7062.jpg,CD
HYP/IMG_7538.jpg,HYP
HYP/IMG_5998.JPG,HYP
HYP/IMG_7321.jpg,HYP
HYP/IMG_7323.jpg,HYP
CD/IMG_6928.jpg,CD
HYP/IMG_7259.jpg,HYP
CD/IMG_6962.jpg,CD
STTC/IMG_8413.jpg,STTC
CD/IMG_6874.jpg,CD
STTC/IMG_8043.jpg,STTC
CD/IMG_6937.jpg,CD
MI/IMG_6087.JPG,MI
NORM/IMG_6612.jpg,NORM
NORM/IMG_6714.jpg,NORM
HYP/IMG_7395.jpg,HYP
HYP/IMG_7401.jpg,HYP
CD/IMG_7199.jpg,CD
HYP/IMG_7316.jpg,HYP
NORM/IMG_5850.JPG,NORM
HYP/IMG_7338.jpg,HYP
CD/IMG_7042.jpg,CD
CD/IMG_6960.jpg,CD
CD/IMG_6991.jpg,CD
NORM/IMG_5820.JPG,NORM
STTC/IMG_8320.jpg,STTC
MI/IMG_7646.jpg,MI
HYP/IMG_5975.JPG,HYP
NORM/IMG_6586.jpg,NORM
MI/IMG_6042.JPG,MI
MI/IMG_7812.jpg,MI
HYP/IMG_7419.jpg,HYP
CD/IMG_7114.jpg,CD
NORM/IMG_6713.jpg,NORM
NORM/IMG_5853.JPG,NORM
STTC/IMG_8303.jpg,STTC
CD/IMG_7020.jpg,CD
STTC/IMG_8271.jpg,STTC
STTC/IMG_8116.jpg,STTC
HYP/IMG_5955.JPG,HYP
STTC/IMG_8076.jpg,STTC
STTC/IMG_8204.jpg,STTC
CD/IMG_6904.jpg,CD
HYP/IMG_7492.jpg,HYP
HYP/IMG_7360.jpg,HYP
STTC/IMG_8337.jpg,STTC
MI/IMG_7669.jpg,MI
CD/IMG_7219.jpg,CD
MI/IMG_7661.jpg,MI
MI/IMG_7643.jpg,MI
STTC/IMG_8384.jpg,STTC
NORM/IMG_5787.JPG,NORM
MI/IMG_6028.JPG,MI
MI/IMG_7687.jpg,MI
NORM/IMG_6603.jpg,NORM
CD/IMG_6957.jpg,CD
CD/IMG_6839.jpg,CD
HYP/IMG_7294.jpg,HYP
NORM/IMG_6481.jpg,NORM
MI/IMG_7680.jpg,MI
CD/IMG_7210.jpg,CD
STTC/IMG_8198.jpg,STTC
MI/IMG_6078.JPG,MI
NORM/IMG_6551.jpg,NORM
STTC/IMG_8047.jpg,STTC
NORM/IMG_6545.jpg,NORM
